Date,Currency,Exchange
3/15/2015,EUR,0.92
3/15/2015,GBP,0.79
3/16/2015,USD,1.0
3/16/2015,CAD,1.32
3/16/2015,AUD,1.55
3/16/2015,EUR,0.92
3/16/2015,GBP,0.79
3/17/2015,USD,1.0
3/17/2015,CAD,1.32
3/17/2015,AUD,1.55
3/17/2015,EUR,0.92
3/17/2015,GBP,0.79
3/18/2015,USD,1.0
3/18/2015,CAD,1.32
3/18/2015,AUD,1.55
3/18/2015,EUR,0.92
3/18/2015,GBP,0.79
3/19/2015,USD,1.0
3/19/2015,CAD,1.32
3/19/2015,AUD,1.55
3/19/2015,EUR,0.92
3/19/2015,GBP,0.79
3/20/2015,USD,1.0
3/20/2015,CAD,1.32
3/20/2015,AUD,1.55
3/20/2015,EUR,0.92
3/20/2015,GBP,0.79
3/21/2015,USD,1.0
3/21/2015,CAD,1.32
3/21/2015,AUD,1.55
3/21/2015,EUR,0.92
3/21/2015,GBP,0.79
3/22/2015,USD,1.0
3/22/2015,CAD,1.32
3/22/2015,AUD,1.55
3/22/2015,EUR,0.92
3/22/2015,GBP,0.79
3/23/2015,USD,1.0
3/23/2015,CAD,1.32
3/23/2015,AUD,1.55
3/23/2015,EUR,0.92
3/23/2015,GBP,0.79
3/24/2015,USD,1.0
3/24/2015,CAD,1.32
3/24/2015,AUD,1.55
3/24/2015,EUR,0.92
3/24/2015,GBP,0.79
3/25/2015,USD,1.0
3/25/2015,CAD,1.32
3/25/2015,AUD,1.55
3/25/2015,EUR,0.92
3/25/2015,GBP,0.79
3/26/2015,USD,1.0
3/26/2015,CAD,1.32
3/26/2015,AUD,1.55
3/26/2015,EUR,0.92
3/26/2015,GBP,0.79
3/27/2015,USD,1.0
3/27/2015,CAD,1.32
3/27/2015,AUD,1.55
3/27/2015,EUR,0.92
3/27/2015,GBP,0.79
3/28/2015,USD,1.0
3/28/2015,CAD,1.32
3/28/2015,AUD,1.55
3/28/2015,EUR,0.92
3/28/2015,GBP,0.79
3/29/2015,USD,1.0
3/29/2015,CAD,1.32
3/29/2015,AUD,1.55
3/29/2015,EUR,0.92
3/29/2015,GBP,0.79
3/30/2015,USD,1.0
3/30/2015,CAD,1.32
3/30/2015,AUD,1.55
3/30/2015,EUR,0.92
3/30/2015,GBP,0.79
3/31/2015,USD,1.0
3/31/2015,CAD,1.32
3/31/2015,AUD,1.55
3/31/2015,EUR,0.92
3/31/2015,GBP,0.79
4/1/2015,USD,1.0
4/1/2015,CAD,1.32
4/1/2015,AUD,1.55
4/1/2015,EUR,0.92
4/1/2015,GBP,0.79
4/2/2015,USD,1.0
4/2/2015,CAD,1.32
4/2/2015,AUD,1.55
4/2/2015,EUR,0.92
4/2/2015,GBP,0.79
4/3/2015,USD,1.0
4/3/2015,CAD,1.32
4/3/2015,AUD,1.55
4/3/2015,EUR,0.92
4/3/2015,GBP,0.79
4/4/2015,USD,1.0
4/4/2015,CAD,1.32
4/4/2015,AUD,1.55
4/4/2015,EUR,0.92
4/4/2015,GBP,0.79
4/5/2015,USD,1.0
4/5/2015,CAD,1.32
4/5/2015,AUD,1.55
4/5/2015,EUR,0.92
4/5/2015,GBP,0.79
4/6/2015,USD,1.0
4/6/2015,CAD,1.32
4/6/2015,AUD,1.55
4/6/2015,EUR,0.92
4/6/2015,GBP,0.79
4/7/2015,USD,1.0
4/7/2015,CAD,1.32
4/7/2015,AUD,1.55
4/7/2015,EUR,0.92
4/7/2015,GBP,0.79
4/8/2015,USD,1.0
4/8/2015,CAD,1.32
4/8/2015,AUD,1.55
4/8/2015,EUR,0.92
4/8/2015,GBP,0.79
4/9/2015,USD,1.0
4/9/2015,CAD,1.32
4/9/2015,AUD,1.55
4/9/2015,EUR,0.92
4/9/2015,GBP,0.79
4/10/2015,USD,1.0
4/10/2015,CAD,1.32
4/10/2015,AUD,1.55
4/10/2015,EUR,0.92
4/10/2015,GBP,0.79
4/11/2015,USD,1.0
4/11/2015,CAD,1.32
4/11/2015,AUD,1.55
4/11/2015,EUR,0.92
4/11/2015,GBP,0.79
4/12/2015,USD,1.0
4/12/2015,CAD,1.32
4/12/2015,AUD,1.55
4/12/2015,EUR,0.92
4/12/2015,GBP,0.79
4/13/2015,USD,1.0
4/13/2015,CAD,1.32
4/13/2015,AUD,1.55
4/13/2015,EUR,0.92
4/13/2015,GBP,0.79
4/14/2015,USD,1.0
4/14/2015,CAD,1.32
4/14/2015,AUD,1.55
4/14/2015,EUR,0.92
4/14/2015,GBP,0.79
4/15/2015,USD,1.0
4/15/2015,CAD,1.32
4/15/2015,AUD,1.55
4/15/2015,EUR,0.92
4/15/2015,GBP,0.79
4/16/2015,USD,1.0
4/16/2015,CAD,1.32
4/16/2015,AUD,1.55
4/16/2015,EUR,0.92
4/16/2015,GBP,0.79
4/17/2015,USD,1.0
4/17/2015,CAD,1.32
4/17/2015,AUD,1.55
4/17/2015,EUR,0.92
4/17/2015,GBP,0.79
4/18/2015,USD,1.0
4/18/2015,CAD,1.32
4/18/2015,AUD,1.55
4/18/2015,EUR,0.92
4/18/2015,GBP,0.79
4/19/2015,USD,1.0
4/19/2015,CAD,1.32
4/19/2015,AUD,1.55
4/19/2015,EUR,0.92
4/19/2015,GBP,0.79
4/20/2015,USD,1.0
4/20/2015,CAD,1.32
4/20/2015,AUD,1.55
4/20/2015,EUR,0.92
4/20/2015,GBP,0.79
4/21/2015,USD,1.0
4/21/2015,CAD,1.32
4/21/2015,AUD,1.55
4/21/2015,EUR,0.92
4/21/2015,GBP,0.79
4/22/2015,USD,1.0
4/22/2015,CAD,1.32
4/22/2015,AUD,1.55
4/22/2015,EUR,0.92
4/22/2015,GBP,0.79
4/23/2015,USD,1.0
4/23/2015,CAD,1.32
4/23/2015,AUD,1.55
4/23/2015,EUR,0.92
4/23/2015,GBP,0.79
4/24/2015,USD,1.0
4/24/2015,CAD,1.32
4/24/2015,AUD,1.55
4/24/2015,EUR,0.92
4/24/2015,GBP,0.79
4/25/2015,USD,1.0
4/25/2015,CAD,1.32
4/25/2015,AUD,1.55
4/25/2015,EUR,0.92
4/25/2015,GBP,0.79
4/26/2015,USD,1.0
4/26/2015,CAD,1.32
4/26/2015,AUD,1.55
4/26/2015,EUR,0.92
4/26/2015,GBP,0.79
4/27/2015,USD,1.0
4/27/2015,CAD,1.32
4/27/2015,AUD,1.55
4/27/2015,EUR,0.92
4/27/2015,GBP,0.79
4/28/2015,USD,1.0
4/28/2015,CAD,1.32
4/28/2015,AUD,1.55
4/28/2015,EUR,0.92
4/28/2015,GBP,0.79
4/29/2015,USD,1.0
4/29/2015,CAD,1.32
4/29/2015,AUD,1.55
4/29/2015,EUR,0.92
4/29/2015,GBP,0.79
4/30/2015,USD,1.0
4/30/2015,CAD,1.32
4/30/2015,AUD,1.55
4/30/2015,EUR,0.92
4/30/2015,GBP,0.79
5/1/2015,USD,1.0
5/1/2015,CAD,1.32
5/1/2015,AUD,1.55
5/1/2015,EUR,0.92
5/1/2015,GBP,0.79
5/2/2015,USD,1.0
5/2/2015,CAD,1.32
5/2/2015,AUD,1.55
5/2/2015,EUR,0.92
5/2/2015,GBP,0.79
5/3/2015,USD,1.0
5/3/2015,CAD,1.32
5/3/2015,AUD,1.55
5/3/2015,EUR,0.92
5/3/2015,GBP,0.79
5/4/2015,USD,1.0
5/4/2015,CAD,1.32
5/4/2015,AUD,1.55
5/4/2015,EUR,0.92
5/4/2015,GBP,0.79
5/5/2015,USD,1.0
5/5/2015,CAD,1.32
5/5/2015,AUD,1.55
5/5/2015,EUR,0.92
5/5/2015,GBP,0.79
5/6/2015,USD,1.0
5/6/2015,CAD,1.32
5/6/2015,AUD,1.55
5/6/2015,EUR,0.92
5/6/2015,GBP,0.79
5/7/2015,USD,1.0
5/7/2015,CAD,1.32
5/7/2015,AUD,1.55
5/7/2015,EUR,0.92
5/7/2015,GBP,0.79
5/8/2015,USD,1.0
5/8/2015,CAD,1.32
5/8/2015,AUD,1.55
5/8/2015,EUR,0.92
5/8/2015,GBP,0.79
5/9/2015,USD,1.0
5/9/2015,CAD,1.32
5/9/2015,AUD,1.55
5/9/2015,EUR,0.92
5/9/2015,GBP,0.79
5/10/2015,USD,1.0
5/10/2015,CAD,1.32
5/10/2015,AUD,1.55
5/10/2015,EUR,0.92
5/10/2015,GBP,0.79
5/11/2015,USD,1.0
5/11/2015,CAD,1.32
5/11/2015,AUD,1.55
5/11/2015,EUR,0.92
5/11/2015,GBP,0.79
5/12/2015,USD,1.0
5/12/2015,CAD,1.32
5/12/2015,AUD,1.55
5/12/2015,EUR,0.92
5/12/2015,GBP,0.79
5/13/2015,USD,1.0
5/13/2015,CAD,1.32
5/13/2015,AUD,1.55
5/13/2015,EUR,0.92
5/13/2015,GBP,0.79
5/14/2015,USD,1.0
5/14/2015,CAD,1.32
5/14/2015,AUD,1.55
5/14/2015,EUR,0.92
5/14/2015,GBP,0.79
5/15/2015,USD,1.0
5/15/2015,CAD,1.32
5/15/2015,AUD,1.55
5/15/2015,EUR,0.92
5/15/2015,GBP,0.79
5/16/2015,USD,1.0
5/16/2015,CAD,1.32
5/16/2015,AUD,1.55
5/16/2015,EUR,0.92
5/16/2015,GBP,0.79
5/17/2015,USD,1.0
5/17/2015,CAD,1.32
5/17/2015,AUD,1.55
5/17/2015,EUR,0.92
5/17/2015,GBP,0.79
5/18/2015,USD,1.0
5/18/2015,CAD,1.32
5/18/2015,AUD,1.55
5/18/2015,EUR,0.92
5/18/2015,GBP,0.79
5/19/2015,USD,1.0
5/19/2015,CAD,1.32
5/19/2015,AUD,1.55
5/19/2015,EUR,0.92
5/19/2015,GBP,0.79
5/20/2015,USD,1.0
5/20/2015,CAD,1.32
5/20/2015,AUD,1.55
5/20/2015,EUR,0.92
5/20/2015,GBP,0.79
5/21/2015,USD,1.0
5/21/2015,CAD,1.32
5/21/2015,AUD,1.55
5/21/2015,EUR,0.92
5/21/2015,GBP,0.79
5/22/2015,USD,1.0
5/22/2015,CAD,1.32
5/22/2015,AUD,1.55
5/22/2015,EUR,0.92
5/22/2015,GBP,0.79
5/23/2015,USD,1.0
5/23/2015,CAD,1.32
5/23/2015,AUD,1.55
5/23/2015,EUR,0.92
5/23/2015,GBP,0.79
5/24/2015,USD,1.0
5/24/2015,CAD,1.32
5/24/2015,AUD,1.55
5/24/2015,EUR,0.92
5/24/2015,GBP,0.79
5/25/2015,USD,1.0
5/25/2015,CAD,1.32
5/25/2015,AUD,1.55
5/25/2015,EUR,0.92
5/25/2015,GBP,0.79
5/26/2015,USD,1.0
5/26/2015,CAD,1.32
5/26/2015,AUD,1.55
5/26/2015,EUR,0.92
5/26/2015,GBP,0.79
5/27/2015,USD,1.0
5/27/2015,CAD,1.32
5/27/2015,AUD,1.55
5/27/2015,EUR,0.92
5/27/2015,GBP,0.79
5/28/2015,USD,1.0
5/28/2015,CAD,1.32
5/28/2015,AUD,1.55
5/28/2015,EUR,0.92
5/28/2015,GBP,0.79
5/29/2015,USD,1.0
5/29/2015,CAD,1.32
5/29/2015,AUD,1.55
5/29/2015,EUR,0.92
5/29/2015,GBP,0.79
5/30/2015,USD,1.0
5/30/2015,CAD,1.32
5/30/2015,AUD,1.55
5/30/2015,EUR,0.92
5/30/2015,GBP,0.79
5/31/2015,USD,1.0
5/31/2015,CAD,1.32
5/31/2015,AUD,1.55
5/31/2015,EUR,0.92
5/31/2015,GBP,0.79
6/1/2015,USD,1.0
6/1/2015,CAD,1.32
6/1/2015,AUD,1.55
6/1/2015,EUR,0.92
6/1/2015,GBP,0.79
6/2/2015,USD,1.0
6/2/2015,CAD,1.32
6/2/2015,AUD,1.55
6/2/2015,EUR,0.92
6/2/2015,GBP,0.79
6/3/2015,USD,1.0
6/3/2015,CAD,1.32
6/3/2015,AUD,1.55
6/3/2015,EUR,0.92
6/3/2015,GBP,0.79
6/4/2015,USD,1.0
6/4/2015,CAD,1.32
6/4/2015,AUD,1.55
6/4/2015,EUR,0.92
6/4/2015,GBP,0.79
6/5/2015,USD,1.0
6/5/2015,CAD,1.32
6/5/2015,AUD,1.55
6/5/2015,EUR,0.92
6/5/2015,GBP,0.79
6/6/2015,USD,1.0
6/6/2015,CAD,1.32
6/6/2015,AUD,1.55
6/6/2015,EUR,0.92
6/6/2015,GBP,0.79
6/7/2015,USD,1.0
6/7/2015,CAD,1.32
6/7/2015,AUD,1.55
6/7/2015,EUR,0.92
6/7/2015,GBP,0.79
6/8/2015,USD,1.0
6/8/2015,CAD,1.32
6/8/2015,AUD,1.55
6/8/2015,EUR,0.92
6/8/2015,GBP,0.79
6/9/2015,USD,1.0
6/9/2015,CAD,1.32
6/9/2015,AUD,1.55
6/9/2015,EUR,0.92
6/9/2015,GBP,0.79
6/10/2015,USD,1.0
6/10/2015,CAD,1.32
6/10/2015,AUD,1.55
6/10/2015,EUR,0.92
6/10/2015,GBP,0.79
6/11/2015,USD,1.0
6/11/2015,CAD,1.32
6/11/2015,AUD,1.55
6/11/2015,EUR,0.92
6/11/2015,GBP,0.79
6/12/2015,USD,1.0
6/12/2015,CAD,1.32
6/12/2015,AUD,1.55
6/12/2015,EUR,0.92
6/12/2015,GBP,0.79
6/13/2015,USD,1.0
6/13/2015,CAD,1.32
6/13/2015,AUD,1.55
6/13/2015,EUR,0.92
6/13/2015,GBP,0.79
6/14/2015,USD,1.0
6/14/2015,CAD,1.32
6/14/2015,AUD,1.55
6/14/2015,EUR,0.92
6/14/2015,GBP,0.79
6/15/2015,USD,1.0
6/15/2015,CAD,1.32
6/15/2015,AUD,1.55
6/15/2015,EUR,0.92
6/15/2015,GBP,0.79
6/16/2015,USD,1.0
6/16/2015,CAD,1.32
6/16/2015,AUD,1.55
6/16/2015,EUR,0.92
6/16/2015,GBP,0.79
6/17/2015,USD,1.0
6/17/2015,CAD,1.32
6/17/2015,AUD,1.55
6/17/2015,EUR,0.92
6/17/2015,GBP,0.79
6/18/2015,USD,1.0
6/18/2015,CAD,1.32
6/18/2015,AUD,1.55
6/18/2015,EUR,0.92
6/18/2015,GBP,0.79
6/19/2015,USD,1.0
6/19/2015,CAD,1.32
6/19/2015,AUD,1.55
6/19/2015,EUR,0.92
6/19/2015,GBP,0.79
6/20/2015,USD,1.0
6/20/2015,CAD,1.32
6/20/2015,AUD,1.55
6/20/2015,EUR,0.92
6/20/2015,GBP,0.79
6/21/2015,USD,1.0
6/21/2015,CAD,1.32
6/21/2015,AUD,1.55
6/21/2015,EUR,0.92
6/21/2015,GBP,0.79
6/22/2015,USD,1.0
6/22/2015,CAD,1.32
6/22/2015,AUD,1.55
6/22/2015,EUR,0.92
6/22/2015,GBP,0.79
6/23/2015,USD,1.0
6/23/2015,CAD,1.32
6/23/2015,AUD,1.55
6/23/2015,EUR,0.92
6/23/2015,GBP,0.79
6/24/2015,USD,1.0
6/24/2015,CAD,1.32
6/24/2015,AUD,1.55
6/24/2015,EUR,0.92
6/24/2015,GBP,0.79
6/25/2015,USD,1.0
6/25/2015,CAD,1.32
6/25/2015,AUD,1.55
6/25/2015,EUR,0.92
6/25/2015,GBP,0.79
6/26/2015,USD,1.0
6/26/2015,CAD,1.32
6/26/2015,AUD,1.55
6/26/2015,EUR,0.92
6/26/2015,GBP,0.79
6/27/2015,USD,1.0
6/27/2015,CAD,1.32
6/27/2015,AUD,1.55
6/27/2015,EUR,0.92
6/27/2015,GBP,0.79
6/28/2015,USD,1.0
6/28/2015,CAD,1.32
6/28/2015,AUD,1.55
6/28/2015,EUR,0.92
6/28/2015,GBP,0.79
6/29/2015,USD,1.0
6/29/2015,CAD,1.32
6/29/2015,AUD,1.55
6/29/2015,EUR,0.92
6/29/2015,GBP,0.79
6/30/2015,USD,1.0
6/30/2015,CAD,1.32
6/30/2015,AUD,1.55
6/30/2015,EUR,0.92
6/30/2015,GBP,0.79
7/1/2015,USD,1.0
7/1/2015,CAD,1.32
7/1/2015,AUD,1.55
7/1/2015,EUR,0.92
7/1/2015,GBP,0.79
7/2/2015,USD,1.0
7/2/2015,CAD,1.32
7/2/2015,AUD,1.55
7/2/2015,EUR,0.92
7/2/2015,GBP,0.79
7/3/2015,USD,1.0
7/3/2015,CAD,1.32
7/3/2015,AUD,1.55
7/3/2015,EUR,0.92
7/3/2015,GBP,0.79
7/4/2015,USD,1.0
7/4/2015,CAD,1.32
7/4/2015,AUD,1.55
7/4/2015,EUR,0.92
7/4/2015,GBP,0.79
7/5/2015,USD,1.0
7/5/2015,CAD,1.32
7/5/2015,AUD,1.55
7/5/2015,EUR,0.92
7/5/2015,GBP,0.79
7/6/2015,USD,1.0
7/6/2015,CAD,1.32
7/6/2015,AUD,1.55
7/6/2015,EUR,0.92
7/6/2015,GBP,0.79
7/7/2015,USD,1.0
7/7/2015,CAD,1.32
7/7/2015,AUD,1.55
7/7/2015,EUR,0.92
7/7/2015,GBP,0.79
7/8/2015,USD,1.0
7/8/2015,CAD,1.32
7/8/2015,AUD,1.55
7/8/2015,EUR,0.92
